turn	comment_timestamp	comment_id	reply_to	username	comment_text	negative	neutral	positive	compound	fear	joy	anger	sadness	love	surprise
1	1662545274.889934	UgxRqHRnwAelIPmIW454AaABAg	na	Kosmic	"Be sure to follow the Twitch stream so you can participate next time!
http://www.twitch.tv/kosmic"	0.0	0.834	0.166	0.3802	0.0006110440008342266	0.9969204664230347	0.0010109911672770977	0.000612446223385632	0.0005889174644835293	0.0002562185109127313
2	1662545274.968195	UgxYMZCFRGykyzF1GJt4AaABAg	na	Brendan Rizzo	Once humans tie the TAS all the way through, this will become a legit category.	0.0	1.0	0.0	0.0	0.04108056798577309	0.8597100377082825	0.08644036203622818	0.00863378494977951	0.0023000056389719248	0.0018352839397266507
3	1662545274.973882	Ugx6FF3iZjsf2I9fba94AaABAg	na	Tyler gaming	!cc	0.0	1.0	0.0	0.0	0.1346588432788849	0.1879064291715622	0.6165849566459656	0.04158730059862137	0.008059537038207054	0.011202950961887836
4	1662545274.976901	UgwpV54NKStSfz4C8DV4AaABAg	na	Cabarkin	Who knew that in order to beat the world record, all Mario had to do was to turn Irish	0.0	1.0	0.0	0.0	0.016456715762615204	0.7326521277427673	0.218092143535614	0.026315325871109962	0.003598099807277322	0.002885592868551612
5	1662545274.980428	UgzGwtc35zsJu9YmOFV4AaABAg	na	Matheus Cabral	watch out with that description, you might get sued	0.0	1.0	0.0	0.0	0.02259005606174469	0.003230932168662548	0.9668650031089783	0.006145462393760681	0.0005110368365421891	0.0006575477309525013
6	1662545274.983063	UgzMp-F9XRzAO19M3I14AaABAg	na	Ryet9	🤣	0.0	0.556	0.444	0.4939	0.20170214772224426	0.18483927845954895	0.4054216146469116	0.17957453429698944	0.014068053103983402	0.014394465833902359
7	1662545274.987733	UgznIlEE37xTnzLvj9d4AaABAg	na	Falkite	that was easy! all mario had to do was break the sound barrier	0.096	0.701	0.203	0.4003	0.15600191056728363	0.2722741365432739	0.34201934933662415	0.2211710512638092	0.0028815146069973707	0.005652023479342461
8	1662545275.234295	9fKRB1bGumM9fKRKgv7134	UgxRqHRnwAelIPmIW454AaABAg	⚒️ SpareEnderboy ⚒️	what a time to be alive	0.0	0.658	0.342	0.3818	0.0034151985310018063	0.9803613424301147	0.00656567607074976	0.0054265474900603294	0.0017925718566402793	0.0024387117009609938
9	1662545275.242576	9fKRB1bGumM9fKUPjdobqc	UgxRqHRnwAelIPmIW454AaABAg	Nada • 10.9B de vistas . hace 2 segundos	how i make speedrun on android?	0.0	1.0	0.0	0.0	0.27577072381973267	0.20936092734336853	0.4900687634944916	0.012657009065151215	0.0034268409945070744	0.008715840987861156
10	1662545275.251224	9fKRB1bGumM9fL7Hua4NNL	UgxRqHRnwAelIPmIW454AaABAg	OG EZ PB	wait a minute... the SMB1 star doesn't give Mario extra speed!	0.0	1.0	0.0	0.0	0.08716005086898804	0.6385249495506287	0.2447483241558075	0.02121032401919365	0.0023427195847034454	0.006013688165694475
11	1662545275.257175	9fKRB1bGumM9fLEs-Le90R	UgxRqHRnwAelIPmIW454AaABAg	Kosmic	 @OG EZ PB  yeah that started in nsmb ds i think	0.0	0.624	0.376	0.6633	0.017065878957509995	0.7247446775436401	0.227118119597435	0.024716263636946678	0.0035887998528778553	0.0027662075590342283
12	1662545275.262004	9fKRB1bGumM9fLJtSRT1ZA	UgxRqHRnwAelIPmIW454AaABAg	Kosmic	 @LanDi3000  Twitch chat is a lot better... Among other things. I'll probably try out a YouTube stream here or there though now that they changed exclusivity agreements	0.0	0.833	0.167	0.6124	0.008689436130225658	0.906304657459259	0.06093404069542885	0.020807772874832153	0.0022404559422284365	0.0010236852103844285
13	1662545275.654505	Ugxt173GTEqbhUKPw6t4AaABAg	na	James Williams	Call guiness	0.0	1.0	0.0	0.0	0.22591938078403473	0.1448289304971695	0.5985111594200134	0.018859446048736572	0.0067244297824800014	0.005156694445759058
14	1662545275.657536	UgyY2z6w4qMyjD0L2UJ4AaABAg	na	Tech Marauder	Disliked for misleading clickbait title	0.643	0.357	0.0	-0.6597	0.0018565596546977758	0.0004716640105471015	0.9940524697303772	0.0031397552229464054	0.0003141878987662494	0.00016542617231607437
15	1662545275.660671	Ugyn2xTns3h-YiHkbI14AaABAg	na	SonicMaster 519	Misleading title, but overall a fun, silly video.	0.149	0.402	0.45	0.5789	0.012996970675885677	0.11156979203224182	0.8633081316947937	0.00794964749366045	0.0014084021095186472	0.0027670853305608034
16	1662545275.664607	Ugyjs1oCm78XzTTYKHh4AaABAg	na	DarkKen87	Lul	0.0	1.0	0.0	0.0	0.5041854977607727	0.07754358649253845	0.369411826133728	0.03415314108133316	0.0061226412653923035	0.008583258837461472
17	1662545275.667694	Ugy6DT9mTmTUZnTduRl4AaABAg	na	Hamlowe	Hey, I see myself in the chat!	0.0	1.0	0.0	0.0	0.0064410315826535225	0.028827745467424393	0.9604901671409607	0.002481803996488452	0.0009914713446050882	0.0007676749373786151
18	1662545275.670356	UgwZOo9rBb0OhEI4mLx4AaABAg	na	Sir Randolph	Now time to try for a 4:33 for real XD	0.0	0.665	0.335	0.6739	0.01627933233976364	0.9258944392204285	0.04077596217393875	0.012381886132061481	0.0027952028904110193	0.001873141503892839
19	1662545275.672937	UgwBSvdI405Q4HDvBy54AaABAg	na	Timothy R	Love your content but I've gotta be honest this is some nasty clickbait dude	0.214	0.479	0.307	0.2846	0.0006264095427468419	0.0016038933536037803	0.9955686926841736	0.0014698373852297664	0.0004871280398219824	0.0002440019161440432
20	1662545275.67541	UgwN6ibtRlWm-Q5qvEN4AaABAg	na	Underrated1	Clickbaited	0.0	1.0	0.0	0.0	0.37893906235694885	0.15251480042934418	0.43467262387275696	0.020757488906383514	0.0041320426389575005	0.008983918465673923
21	1662545275.681076	Ugyx1nolMDg59qvNjqh4AaABAg	na	Curtis Dyer	Billy Mitchell % - more stars than appear on one of his ties lol	0.0	0.823	0.177	0.4215	0.007135776802897453	0.8822591304779053	0.09275060147047043	0.009845718741416931	0.0059312451630830765	0.002077486366033554
22	1662545275.686978	Ugx1GhKTbRnzrIy3OKN4AaABAg	na	Khan	that water section :D	0.0	0.427	0.573	0.6166	0.04471341893076897	0.048581313341856	0.8768897652626038	0.02266956865787506	0.004254940897226334	0.0028909870889037848
23	1662545275.691322	UgzqxJo3ZFBQ2IilkaB4AaABAg	na	DJTimo14	GG kosmic	0.0	0.254	0.746	0.4466	0.24516069889068604	0.2186375856399536	0.47132477164268494	0.04801430180668831	0.010206826031208038	0.006655878387391567
24	1662545275.696249	UgyBrq7VDdzrigIKD-94AaABAg	na	John Smith	Water section was perfection.	0.0	0.448	0.552	0.5719	0.00040775074739940464	0.9950008988380432	0.0015902298036962748	0.0014105882728472352	0.0008918240782804787	0.0006986868684180081
25	1662545275.703908	UgxQ7YGKn07ZVdH2Mv14AaABAg	na	Samuel North	Please make this a legit new category Mario on Drugs any%	0.0	0.813	0.187	0.3182	0.0072035719640553	0.8933250308036804	0.07114958018064499	0.02380165085196495	0.003212178125977516	0.001308026839978993
26	1662545275.710669	UgwYRNf2N2orOzVTjgZ4AaABAg	na	Ebbene Sì	I don't think this run is legit. I mean, there is see no pizza and no coke, so it must be fake	0.283	0.717	0.0	-0.7579	0.0006410259520635009	0.000631132919806987	0.0008056008955463767	0.9976074695587158	0.00014047094737179577	0.00017433342873118818
27	1662545275.715155	UgxtZQyU_gFdzqhD7yV4AaABAg	na	synday	the man who didnt need to wait for a bus	0.0	1.0	0.0	0.0	0.07898172736167908	0.004877404309809208	0.8945401310920715	0.020265014842152596	0.0005541978753171861	0.0007815837161615491
28	1662545275.719131	UgyTNXjGH0uoUQG-ojd4AaABAg	na	Austin Earle	The power of Luigi	0.0	1.0	0.0	0.0	0.03679951652884483	0.14278051257133484	0.798788845539093	0.013926872052252293	0.003039400326088071	0.004664835520088673
29	1662545275.723514	UgylFMc7g_sQbREM3Hx4AaABAg	na	keiharris332	Acceptable click bait	0.0	0.465	0.535	0.3182	0.0023222211748361588	0.9897794127464294	0.004278860986232758	0.0017697749426588416	0.0013339852448552847	0.0005159006104804575
30	1662545275.726305	UgxX_S95-4M1V-uda9J4AaABAg	na	Axel	I feel baited, I thought he got the final frame.	0.0	1.0	0.0	0.0	0.3961099088191986	0.005666344426572323	0.5919895768165588	0.0016595766646787524	0.002635906683281064	0.0019386779749765992
31	1662545275.733318	Ugx7P-Mku_nmkU4oMGN4AaABAg	na	Enigma	Hey Kosmic, I want to see the entire run of this video and I don't use Twitch. Please upload it on to your other channel, if possible!	0.079	0.876	0.046	-0.2392	0.019536824896931648	0.8714898228645325	0.09639621526002884	0.008658522740006447	0.002387329936027527	0.0015313101466745138
32	1662545275.737643	UgyGyj6_G_KxJQSeZHl4AaABAg	na	Mr. Top Hat Jones	"That was fucking amazing, dude…

I never thought of using ‘Crowd Control’ to assist in “beating” a world record.

Great video!"	0.0	0.691	0.309	0.8585	0.0014454914489760995	0.9629908800125122	0.001906778197735548	0.0020977151580154896	0.0010039370972663164	0.030555130913853645
33	1662545276.059585	9fX64JdFfwD9fXCeo830th	UgyY2z6w4qMyjD0L2UJ4AaABAg	Kosmic	🤪	0.0	1.0	0.0	0.0	0.20170214772224426	0.18483927845954895	0.4054216146469116	0.17957453429698944	0.014068053103983402	0.014394465833902359
34	1662545276.473826	Ugy13U0miKHgrzgQMOF4AaABAg	na	HeyItsHunter	The Summoning Salt video is about to go wild	0.0	1.0	0.0	0.0	0.18574519455432892	0.2253081500530243	0.5641916394233704	0.011855664663016796	0.006322337780147791	0.00657705357298255
35	1662545276.47657	UgxAJStfetFwrP6_fnR4AaABAg	na	Jeff Brister	No pizza and coke? 😂	0.295	0.432	0.273	0.1779	0.013765878044068813	0.01005130261182785	0.9581137895584106	0.016152681782841682	0.0010862748604267836	0.0008300881600007415
36	1662545276.479411	UgxyJZLY8o9oVPTdK-x4AaABAg	na	Vegan Slayer Gaming	Billy Mitchell style!	0.0	1.0	0.0	0.0	0.03661002591252327	0.3466644585132599	0.5736007690429688	0.02274906076490879	0.00896724034100771	0.011408484540879726
37	1662545276.48274	UgwTVXUQL5PJPsgBfqJ4AaABAg	na	Laz	Mario looks a little green at the end. 🤢	0.0	1.0	0.0	0.0	0.018100135028362274	0.9426911473274231	0.02304224856197834	0.011755186133086681	0.0019074883311986923	0.0025038679596036673
38	1662545276.485336	UgzrYMLTRmIfth4KHQ54AaABAg	na	Ev'ni	He just flies through the water with invincibility :0 I am thinking of I should try speed running super Mario brothers also.	0.0	0.843	0.157	0.5994	0.0007802139734849334	0.9970182180404663	0.0008465001010335982	0.0005541977006942034	0.0003151183482259512	0.0004859163600485772
39	1662545276.487727	Ugza421QN3GNp50BRvh4AaABAg	na	Scrap Father Scrap Son	Going into 8-4 with 666,000 lol	0.0	0.641	0.359	0.4215	0.041824471205472946	0.5406818985939026	0.35302409529685974	0.0541933998465538	0.006156012415885925	0.00412012031301856
40	1662545276.490204	Ugzh2PEKYVbHiehS0UJ4AaABAg	na	periwinkle	Literally the best water section I've ever seen in my life	0.0	0.704	0.296	0.6369	0.0002733353467192501	0.995895266532898	0.0010435214499011636	0.0011513683712109923	0.001170612871646881	0.00046601431677117944
41	1662545276.492497	UgwbphMCu420Eai35FN4AaABAg	na	GGVision	Starman in the water = fucking motorboat. Loved it	0.0	0.657	0.343	0.6344	0.0006126216612756252	0.002533572493121028	0.0027675065211951733	0.0030014554504305124	0.9903218150138855	0.0007631314219906926
42	1662545276.494672	Ugxzqd7W3j-rCp_1fdx4AaABAg	na	Chris Campbell	Real record (real)	0.0	1.0	0.0	0.0	0.03319687396287918	0.8298526406288147	0.11163626611232758	0.0187070369720459	0.0030863843858242035	0.0035208293702453375
43	1662545276.497068	UgzV8oFNDCZoR60mObR4AaABAg	na	Md5	Bruh I saw 4:33 on the thumbnail lmao	0.0	0.642	0.358	0.5994	0.6483789086341858	0.11964831501245499	0.15386225283145905	0.04691426828503609	0.002013174816966057	0.02918311581015587
44	1662545276.499337	UgyRchFZGWwxzbUYBZl4AaABAg	na	Pikasome 25	"I don’t know about anyone else




This is totally legit"	0.0	1.0	0.0	0.0	0.0011824091197922826	0.9905796647071838	0.005286795552819967	0.001501041348092258	0.0009982227347791195	0.0004518584755714983
45	1662545276.501554	UgxAdveHkdcr8clyqm94AaABAg	na	Valeck Seimu	Best click bait title Ever... Reespeckt	0.0	0.543	0.457	0.6369	0.009215430356562138	0.8884785175323486	0.08930907398462296	0.008458062075078487	0.0027100290171802044	0.0018289375584572554
46	1662545276.50378	Ugwc0ns6VTV-Qe6OGax4AaABAg	na	ValeryVal	Speedrunner complains about being too fast 😅	0.198	0.611	0.191	-0.0258	0.0783541277050972	0.114168182015419	0.7504502534866333	0.05171234533190727	0.00247391895391047	0.002841140143573284
47	1662545276.50611	UgyCsPLVSjuS-7ipBJZ4AaABAg	na	The Sheq	Do people still try to go for a faster time on super mario?	0.0	0.755	0.245	0.5994	0.007794592529535294	0.9555696845054626	0.02716119959950447	0.005002249963581562	0.0010627316078171134	0.0034095109440386295
48	1662545276.50849	UgxlW9r2J3RjG8RdQoN4AaABAg	na	Retro 31	Wow!	0.0	0.0	1.0	0.6239	0.026374461129307747	0.30911049246788025	0.012035638093948364	0.007151497527956963	0.00283901859074831	0.642488956451416
49	1662545276.514073	UgyCJ_w5FebqXX2prSx4AaABAg	na	Oakshield	Only things missing are coke and pizza	0.268	0.732	0.0	-0.296	0.001420829794369638	0.001497599296271801	0.0009413676452822983	0.9955524802207947	0.00024597730953246355	0.00034165504621341825
50	1662545276.519059	Ugzhc5XFc-ZJJb9BP2p4AaABAg	na	SomeGuy712x	"(0:41) ""It's a 300-person co-op run."" So... Twitch Plays Pokémon Super Mario Bros.?
(1:30) ""Don't wanna die in 8-3 again."" (1:32) Welp.
(6:55) Wow, you nailed that pipe exit from the underwater section so smoothly!
Congratulations on your Chat% World Record!"	0.0	0.672	0.328	0.9559	0.0007164987619034946	0.9956223368644714	0.0014928188174962997	0.0007326671038754284	0.00048334343591704965	0.0009523425833322108
51	1662545276.522514	UgxpPJTaPH7MOe6KfoV4AaABAg	na	LinkSaya	The title was clickbait, but I don't complain.	0.0	0.724	0.276	0.395	0.0012567979283630848	0.0033033413346856833	0.9871125817298889	0.007704535964876413	0.0003370402555447072	0.0002857514191418886
52	1662545276.525954	Ugwfr_GvjHDpzCiG9WJ4AaABAg	na	sirus x	I was there!	0.0	1.0	0.0	0.0	0.07881804555654526	0.26832929253578186	0.617407500743866	0.02670220099389553	0.003244433319196105	0.005498588550835848
53	1662545276.529779	UgwTYMQ2-PE1HQSjxjV4AaABAg	na	Neil T	"Now to shoot for the ✌️legit✌️ all-time high score on Donkey Kong.
😏"	0.13	0.87	0.0	-0.34	0.005551735870540142	0.9573768973350525	0.025408998131752014	0.007205349858850241	0.001975215971469879	0.00248168408870697
54	1662545276.904655	UgyWUFaKNbLESxTK59B4AaABAg	na	AndersonNeo12	"""it's too fast"" 🤭
Well.. now that's definitely something u won't hear that often from one of the fastest SMB players in the world."	0.0	0.758	0.242	0.7906	0.0011322482023388147	0.9940280914306641	0.0026153407525271177	0.0010611857287585735	0.0005333397421054542	0.0006297578220255673
55	1662545276.912059	UgwenpKO-ICOttlEa7d4AaABAg	na	Mallrat82	All joking aside, this could potentially become a new category: SMB Crowd Control any%	0.0	0.872	0.128	0.2263	0.012335476465523243	0.4658586382865906	0.5082135796546936	0.008980880491435528	0.002090757479891181	0.00252068811096251
56	1662545276.915175	UgwfnubkVEIZFgXnfyZ4AaABAg	na	Candy Cadet	Cheats	1.0	0.0	0.0	-0.4215	0.0014808448031544685	0.0010711337672546506	0.9909251928329468	0.005816186312586069	0.0004236121603753418	0.00028307794127613306
57	1662545276.918815	UgzreEvnekytgJrZO7V4AaABAg	na	SecondPlace92	How to clickbait 101	0.0	1.0	0.0	0.0	0.07646837830543518	0.3975898325443268	0.4971139430999756	0.018138952553272247	0.003760078689083457	0.006928848568350077
58	1662545276.922081	UgzT1kqt2gVqJrfHnI14AaABAg	na	MazokuRanma	It's funny watching how his muscle memory keeps screwing him over because of the star speed.	0.101	0.745	0.154	0.25	0.0212161373347044	0.012279664166271687	0.7578709721565247	0.0051894234493374825	0.008712656795978546	0.19473108649253845
59	1662545276.924635	UgxvK2S80oFG_wgTyst4AaABAg	na	tech6hutch	Todd Togers %	0.0	1.0	0.0	0.0	0.06684523075819016	0.10266592353582382	0.7913002371788025	0.02786840684711933	0.007252661976963282	0.004067538771778345
60	1662545276.928712	Ugy2gNlzqLrJ0buITMt4AaABAg	na	Jake Clawson	Good work everyone, love these crowd control vids 👨‍👩‍👦‍👦 🌟	0.0	0.628	0.372	0.7964	0.004727369640022516	0.9003525376319885	0.07409761101007462	0.015582800842821598	0.004364862106740475	0.0008748617838136852
61	1662545276.93444	Ugx1uU2eb7-UZj1ZfEN4AaABAg	na	FrankMills	very fun	0.0	0.218	0.782	0.5563	0.00032679643481969833	0.9965646862983704	0.001310432329773903	0.0005455421633087099	0.000625903659965843	0.0006265980191528797
62	1662545276.938585	Ugy_ickP5gqAd0CaoW54AaABAg	na	J M	Chat is the ultimate rng weapon, change my mind	0.216	0.784	0.0	-0.296	0.005623892415314913	0.9353625178337097	0.05025242641568184	0.005757915321737528	0.001995410304516554	0.001007754122838378
63	1662545276.941592	UgxvBEei98MpDRGIUAp4AaABAg	na	Hatlord	billy mitchell got 4:32 back in the 80s, todd rogers is the only witness they had the VHS but it was lost in a fire	0.208	0.792	0.0	-0.7227	0.5966598987579346	0.03342816233634949	0.02823990397155285	0.32159894704818726	0.0025236415676772594	0.017549460753798485
64	1662545276.946179	UgxtPIaKVx5n1pvG2ud4AaABAg	na	Med Animations	"I just thought he was at any% again when I saw the Thumbnail.



I hope he will
I also loved the Video and there should be a new branch
crowdcontrol%"	0.0	0.805	0.195	0.7783	0.0003612746368162334	0.004326432477682829	0.0006343827699311078	0.0031063274946063757	0.9908664226531982	0.0007050368585623801
65	1662545276.949027	UgypCBmBkFEQcYDLyuR4AaABAg	na	Yosher	One of the few times I was glad to be clickbaited, and it technically wasn’t even a clickbait! You’ve done it again, Kosmic!	0.0	0.86	0.14	0.555	0.0015222791116684675	0.9797494411468506	0.014784431084990501	0.0016639918321743608	0.0007808214868418872	0.001499017234891653
66	1662545276.951599	UgzA9mIbbCPyvffGzZx4AaABAg	na	Chiwahd_ Me_	this is just clickbait	0.0	1.0	0.0	0.0	0.02071819268167019	0.00900351908057928	0.9660030007362366	0.0024937111884355545	0.0005867735017091036	0.001194845768623054
67	1662545276.954192	UgyO3NrJBqs6CMZ5b-F4AaABAg	na	Rui Pedro Leite	"This shows how important muscle memory is to speed runners, even a pro like Kosmic deeply struggles with any changes in speed! 
Fun video!"	0.09	0.646	0.264	0.6587	0.0012511834502220154	0.9849432706832886	0.009497986175119877	0.002438498428091407	0.0006368025206029415	0.0012322650291025639
68	1662545276.956666	UgyVZuWSlEh9pWqXZdh4AaABAg	na	Johnknight1	"Kosmic this can't be a world record. You didn't even eat a pizza!

(Also you should submit this as SMB1 Any % - Billy Mitchell category)"	0.0	1.0	0.0	0.0	0.030283376574516296	0.014012590050697327	0.9326362609863281	0.02102096937596798	0.0012511922977864742	0.0007956195622682571
69	1662545276.959477	UgyGOw5qpL5hGoOo6Yt4AaABAg	na	이호석	1:33 lol	0.0	0.263	0.737	0.4215	0.7583042979240417	0.07999324053525925	0.1152382642030716	0.03425746038556099	0.004712555557489395	0.0074941543862223625
70	1662545276.967681	UgwwTeZVRrh5np4i3Yt4AaABAg	na	Benobot99	Awesome	0.0	0.0	1.0	0.6249	0.0006718169897794724	0.9954481720924377	0.001181382336653769	0.0007534325122833252	0.00047562687541358173	0.0014697205042466521
71	1662545276.971078	UgyiJw7eihpALs1MXmF4AaABAg	na	이호석	Awesome!!! You are a master mario player Kosmic man! Love your videos as always. Keep it up man!	0.0	0.628	0.372	0.8877	0.0002530618221499026	0.9979467988014221	0.00044490338768810034	0.00037795494426973164	0.00033607787918299437	0.0006412289803847671
72	1662545276.974159	UgzPLxN_zoIl60tbey14AaABAg	na	TheAzorg	"""i don't wanna die on 8-3 again"" 
Dies

This was the best comedy moment ever :D"	0.0	0.464	0.536	0.931	0.00045303982915356755	0.985140323638916	0.0025780810974538326	0.008594824001193047	0.001963783986866474	0.0012698178179562092
73	1662545276.978433	UgzYUPCigdK26OEs49t4AaABAg	na	Specialist	Nice crowd control WR👌	0.0	0.251	0.749	0.8374	0.00209457753226161	0.855341374874115	0.025828689336776733	0.005558471195399761	0.10879027098417282	0.0023867215495556593
74	1662545277.184796	9fMGMSKyJLs9fMQ7Vs_-Ui	UgzA9mIbbCPyvffGzZx4AaABAg	Kosmic	and then you find out it's actually way more original and interesting than you initially thought :)	0.0	0.621	0.379	0.8204	0.00037586051621474326	0.9972525238990784	0.0006565556395798922	0.0006448925123549998	0.0004115273186471313	0.0006584590882994235
75	1662545277.613316	UgyIUNOkZ-VkSFGN-954AaABAg	na	uppr	baiter headline :(	0.592	0.408	0.0	-0.4404	0.05662805214524269	0.21324028074741364	0.6686384677886963	0.042224109172821045	0.010837382636964321	0.008431767113506794
76	1662545277.617865	Ugz7txVP87qT7HEJc2B4AaABAg	na	dj enby	Gaming!!	0.0	1.0	0.0	0.0	0.021841851994395256	0.8591666221618652	0.09765899181365967	0.010545879602432251	0.004328153096139431	0.006458576302975416
77	1662545277.622223	Ugx_ft8Ni04u1pnwWrd4AaABAg	na	Karim Maassen	Congrats man! Well deserved. No one can beat this ever again!	0.135	0.491	0.374	0.5972	0.0005637909634970129	0.9590476751327515	0.011409192346036434	0.011861216276884079	0.016315147280693054	0.0008029505261220038
78	1662545277.626456	UgzXd98hyGDPOqg3yP94AaABAg	na	VeloxPlayer098 Yeeeah!	DKC 2 music fits every type of video	0.0	1.0	0.0	0.0	0.06085922569036484	0.7807375192642212	0.10914448648691177	0.03860025852918625	0.004888365976512432	0.005770131945610046
79	1662545277.631478	UgyhCSTkWFuuLVnXRyB4AaABAg	na	Zwayno	What a nice speedrun badabun	0.0	0.588	0.412	0.4215	0.013548840768635273	0.7049397230148315	0.25607097148895264	0.011667551472783089	0.007159767206758261	0.006613188423216343
80	1662545277.635173	Ugyg4cH7kgJQDqqMEBp4AaABAg	na	TURBOKAN™	7:03 Luigi?!	0.0	1.0	0.0	0.0	0.302153080701828	0.2919672429561615	0.36062702536582947	0.030614176765084267	0.00475302804261446	0.009885396808385849
81	1662545277.637732	UgzF46AUo8G77Z1RJ2t4AaABAg	na	robby chu	7:03 Thank you Mario but it's me Luigi.	0.0	0.8	0.2	0.1901	0.00030607043299824	0.9918739199638367	0.0016017782036215067	0.0019979015924036503	0.003974868915975094	0.0002453462511766702
82	1662545277.640574	Ugygb3AkSrRPbX7r4Od4AaABAg	na	ramiel555	Human element %	0.0	1.0	0.0	0.0	0.1682547777891159	0.3363465368747711	0.4276115596294403	0.052860792726278305	0.007835338823497295	0.007090934086591005
83	1662545277.648239	UgwfEf6EvIfgUO4VIO54AaABAg	na	Aura Fox	I can't believe they didn't accept this run...	0.238	0.762	0.0	-0.2924	0.001354109263047576	0.9907220602035522	0.0010262542637065053	0.00369183998554945	0.002186437603086233	0.0010194954229518771
84	1662545277.652502	UgzxLD4ULqGKn3RFQ094AaABAg	na	sunnyhvar1992	Pasando Super Mario en 4 minutos y 33 segundos	0.0	0.672	0.328	0.5994	0.007504704874008894	0.9653754830360413	0.01573280058801174	0.006499644834548235	0.0030891054775565863	0.0017981556011363864
85	1662545277.656361	Ugw_iyXPnszm1gBqOuF4AaABAg	na	Mr. EQ	Yo, that pipe entry in 8-4 was something else. I was already pretty hyped, but that sent me over the edge.	0.0	0.905	0.095	0.2732	0.02634020708501339	0.9216710925102234	0.022881701588630676	0.006495526060461998	0.002436541486531496	0.02017500065267086
86	1662545277.661984	UgwfpgULinX3XMm-jIl4AaABAg	na	Rafał Chmura	wow, those  new strats were insane. Can't believe you managed to beat the 'unbeatable' TAS. This proves that SMB speedruns still has a long way to go! Congratulations Kosmic!	0.073	0.703	0.224	0.7639	0.0006051890668459237	0.9920510649681091	0.0013160770758986473	0.0010147311259061098	0.000647533917799592	0.004365494474768639
